Order_ID,Artist,City,Venue,Date,Ticket_Category,Ticket_Price,Buyer_Name,Quantity,Total_Price
ORD00644705,Kunto Aji,Bandung,Ciwalk,2024/10/19,Festival,127493,Patricia Kusumo,2,254986
ORD00695466,Isyana Sarasvati,Yogyakarta,Gedung Kesenian Jakarta,2024-06-13,Festival,127493,Violet Hastuti,1,127493
ORD00217198,Barasuara,,Istora Senayan,2024-06-18,Gold,217869,"Jatmiko Wibowo, S.Farm",2,435738
ORD00232710,Tiara Andini,Balikpapan,Taman Budaya,2025-05-18,Festival,127493,Kemal Ramadan,2,
ORD00353908,Pamungkas,Yogyakarta,Taman Budaya,,Silver,173669,Jagaraga Budiyanto,1,173669
ORD00313925,FOURTWNTY,Makassar,JCC,2023-11-18,Festival,127493,R. Jefri Habibi,2,254986
ORD00375328,HINDIA,,ISTORA SENAYAN,06-23-2025,Gold,217869,"Karimah Nugroho, S.Ked",2,435738
ORD00722438,maliq & d'essentials,Denpasar,ciwalk,2023-09-19,VIP,253466,"Yessi Hidayanto, S.E.",1,
ORD00656017,,Yogyakarta,GEDUNG KESENIAN JAKARTA,2023-10-26,Gold,217869,Ina Mulyani,1,217869
ORD00004272,Noah,Medan,Gedung Kesenian Jakarta,2025-02-17,Silver,,Fitriani Puspita,2,347338
ORD00397861,Nadin Amizah,Bandung,Istora Senayan,2024-03-11,Gold,217869,Malik Zulaika,2,435738
ORD00777876,Hindia,Balikpapan,,2024-12-21,Festival,127493,Enteng Widiastuti,5,637465
ORD00048161,Pamungkas,Semarang,Ciwalk,2025-05-20,,127493,"Taufik Uwais, S.E.",5,637465
ORD00477171,Raisa,,Jogja Expo Center,03-11-2025,VIP,253466,Eman Riyanti,1,253466
ORD00142849,Banda Neira,Yogyakarta,Gedung Kesenian Jakarta,2025-03-11,VIP,253466,Rini Nashiruddin,3,760398
ORD00324962,bernadya,Bandung,sabuga,2024-06-05,,173669,Rahmi Lailasari,5,868345
ORD00224267,Banda Neira,Denpasar,Tennis Indoor Senayan,2024-01-11,Gold,217869,"Hj. Irma Najmudin, S.Pt",3,653607
ORD00046795,Nadin Amizah,Denpasar,Tennis Indoor Senayan,2025-03-17,Gold,217869,"Jagapati Safitri, S.T.",4,871476
ORD00570581,Kunto Aji,Balikpapan,,2024/03/23,VIP,253466,Restu Yuniar,2,506932
ORD00015206,TULUS,Bandung,TAMAN BUDAYA,2023-12-27,Silver,173669,Mulya Novitasari,1,173669
ORD00624775,RAISA,Semarang,ISTORA SENAYAN,2025-04-05,Festival,99999999,Diana Irawan,1,127493
ORD00386990,Nadin Amizah,Denpasar,Istora Senayan,2023-09-18,Gold,217869,Endah Mandasari,4,871476
ORD00089746,Kunto Aji,Denpasar,,2024-02-15,Silver,173669,Harsana Wasita,5,868345
ORD00236053,Bernadya,Palembang,Tennis Indoor Senayan,2024-08-23,VIP,253466,Gilda Rahayu,5,1267330
ORD00527316,pamungkas,Semarang,jcc,08-15-2023,Gold,217869,Harsanto Pradana,4,871476
ORD00246646,DEWA 19,Denpasar,SABUGA,10-07-2024,Silver,173669,"Sutan Karsa Simanjuntak, S.Psi",4,694676
ORD00577670,Efek Rumah Kaca,Surabaya,Jogja Expo Center,2023-09-23,Silver,173669,Michelle Namaga,3,521007
ORD00130327,YURA YUNITA,Semarang,JOGJA EXPO CENTER,07-08-2025,Silver,173669,Kenzie Pratama,2,347338
ORD00819084,Sal Priadi,Medan,Gedung Kesenian Jakarta,2024-07-26,VIP,,Titin Latupono,5,1267330
ORD00419645,Nadin Amizah,Balikpapan,Gedung Kesenian Jakarta,03-02-2024,Gold,217869,Adiarja Situmorang,1,217869
ORD00797766,hindia,Palembang,taman budaya,2025/07/15,Gold,217869,"Ade Widiastuti, S.I.Kom",3,653607
ORD00689182,Bernadya,Medan,Istora Senayan,2023-09-05,VIP,253466,"Warji Nainggolan, S.Sos",4,1013864
ORD00329110,BANDA NEIRA,Denpasar,TRANS STUDIO BANDUNG,11-29-2023,Festival,1,"dr. Tami Wacana, S.IP",4,509972
ORD00548311,Bernadya,Jakarta,Lapangan Gasibu,2024/04/22,VIP,253466,Humaira Padmasari,1,253466
ORD00425802,DEWA 19,Medan,TENNIS INDOOR SENAYAN,2024-01-16,VIP,253466,Sutan Daniswara Lestari,2,506932
ORD00228868,ISYANA SARASVATI,Makassar,CIWALK,2023-09-08,,173669,Nilam Hidayat,2,347338
ORD00726795,Noah,Bandung,Gedung Kesenian Jakarta,10-26-2024,VIP,253466,"Zamira Widiastuti, S.T.",5,
ORD00259031,Isyana Sarasvati,Jakarta,Taman Budaya,2025-02-28,Gold,217869,R.A. Ellis Saptono,2,435738
ORD00561931,Raisa,Bandung,Tennis Indoor Senayan,2025-01-19,Festival,127493,Dt. Jaya Nainggolan,2,254986
ORD00686621,SAL PRIADI,Yogyakarta,TENNIS INDOOR SENAYAN,2023-09-14,Festival,127493,Jelita Saefullah,3,382479
ORD00010012,Tiara Andini,Jakarta,Tennis Indoor Senayan,2023-08-19,VIP,253466,"Eka Palastri, S.I.Kom",4,1013864
ORD00523862,NADIN AMIZAH,Jakarta,GEDUNG KESENIAN JAKARTA,05-08-2025,Festival,127493,Karman Januar,5,637465
ORD00276413,Efek Rumah Kaca,Balikpapan,Sabuga,2024-12-14,Festival,127493,Yuliana Palastri,1,
ORD00462823,ISYANA SARASVATI,Bandung,JOGJA EXPO CENTER,2025-06-17,Gold,217869,Lidya Damanik,4,871476
ORD00197806,Dewa 19,Denpasar,Trans Studio Bandung,2025-06-04,Silver,173669,"Dt. Ganjaran Riyanti, S.Psi",2,347338
ORD00699018,Nadin Amizah,Surabaya,Jogja Expo Center,2024-09-03,Gold,217869,Cut Nova Marpaung,,217869
ORD00230378,NADIN AMIZAH,Jakarta,ISTORA SENAYAN,2024/10/21,Gold,217869,dr. Caket Usamah,3,
ORD00209636,Ardhito Pramono,Makassar,Jogja Expo Center,2025-05-27,,127493,Nasim Utami,5,637465
ORD00132779,Maliq & D'Essentials,Balikpapan,Ciwalk,2023/10/20,Gold,217869,Samiah Zulaika,2,435738
ORD00358532,,Jakarta,Trans Studio Bandung,2025/03/17,Silver,173669,"Mala Simbolon, M.TI.",2,347338
ORD00256507,Maliq & D'Essentials,Medan,Trans Studio Bandung,2024-07-15,Festival,99999999,Titin Gunawan,1,127493
ORD00348485,Kunto Aji,Denpasar,JCC,12-28-2023,Gold,217869,Mumpuni Mayasari,4,871476
ORD00173552,FIERSA BESARI,Denpasar,JOGJA EXPO CENTER,2024-01-08,Gold,217869,Slamet Natsir,5,1089345
ORD00065114,Hindia,Yogyakarta,Lapangan Gasibu,,Festival,127493,Sutan Kasiran Dabukke,4,509972
ORD00410407,MALIQ & D'ESSENTIALS,Palembang,JOGJA EXPO CENTER,2024/10/18,VIP,253466,R. Estiawan Nasyiah,5,1267330
ORD00118230,Hindia,Medan,Gedung Kesenian Jakarta,2025/02/03,Festival,127493,Ir. Yusuf Tampubolon,2,254986
ORD00571149,Hindia,Yogyakarta,Gedung Kesenian Jakarta,10-17-2024,Gold,217869,"Dt. Bagus Padmasari, M.Pd",1,217869
ORD00195106,BARASUARA,Jakarta,LAPANGAN GASIBU,06-17-2024,Gold,217869,Kasim Widodo,2,435738
ORD00129375,Efek Rumah Kaca,Medan,Taman Budaya,2024/09/09,Silver,173669,"Tgk. Baktiono Usamah, S.Farm",2,347338
ORD00257290,efek rumah kaca,Yogyakarta,tennis indoor senayan,2024/03/27,VIP,1,Kamaria Adriansyah,5,1267330
ORD00150815,Ardhito Pramono,Medan,JCC,2025-03-03,Gold,217869,"Drs. Lembah Wacana, S.Ked",3,653607
ORD00815333,Sal Priadi,Jakarta,Sabuga,2024/08/24,,253466,Hardana Oktaviani,3,760398
ORD00727117,banda neira,Makassar,sabuga,2024/12/20,Silver,173669,"drg. Patricia Farida, M.TI.",4,694676
ORD00639480,Dewa 19,Balikpapan,Ciwalk,08-10-2024,Gold,217869,"Ir. Titin Permadi, S.E.I",3,653607
ORD00323761,sal priadi,Balikpapan,ciwalk,,Festival,127493,"Edi Prastuti, S.Ked",5,637465
ORD00236132,Bernadya,Palembang,Tennis Indoor Senayan,2024-08-23,VIP,253466,Sakti Palastri,3,760398
ORD00303087,,Denpasar,Taman Budaya,2023-11-28,Festival,127493,"Tgk. Putri Pertiwi, S.IP",4,509972
ORD00607372,Sal Priadi,Denpasar,Lapangan Gasibu,08-04-2024,VIP,253466,Martani Hidayat,3,760398
ORD00763483,Efek Rumah Kaca,Medan,JCC,2024-09-01,Festival,127493,Cinthia Andriani,4,509972
ORD00388028,Fourtwnty,Surabaya,Ciwalk,2025/07/10,Gold,217869,Asirwanda Zulaika,4,871476
ORD00705260,Nadin Amizah,Yogyakarta,JCC,11-19-2024,Festival,127493,"Dalima Waluyo, S.I.Kom",3,382479
ORD00208807,Noah,Balikpapan,Gedung Kesenian Jakarta,,Silver,173669,"R. Zahra Winarsih, M.Kom.",2,347338
ORD00410379,maliq & d'essentials,Palembang,jogja expo center,2024-10-18,VIP,253466,R.M. Tasnim Nainggolan,1,253466
ORD00792476,Banda Neira,Jakarta,Trans Studio Bandung,2024-08-16,Festival,127493,T. Hamzah Sirait,1,127493
ORD00748846,Efek Rumah Kaca,Yogyakarta,Trans Studio Bandung,2024-06-30,Festival,500000000,Victoria Utama,4,509972
ORD00189999,RAISA,Balikpapan,GEDUNG KESENIAN JAKARTA,2023-09-11,Festival,127493,"Kezia Usada, S.IP",1,
ORD00393053,fiersa besari,Semarang,taman budaya,2024-03-22,VIP,253466,"Drs. Dartono Melani, M.TI.",4,1013864
ORD00713405,EFEK RUMAH KACA,Bandung,JOGJA EXPO CENTER,07-28-2023,Gold,217869,"Ir. Elisa Wibisono, S.Pt",2,435738
ORD00018104,Ardhito Pramono,Yogyakarta,Istora Senayan,01-13-2024,Gold,217869,Lanang Marbun,,217869
,Fiersa Besari,Palembang,Ciwalk,2024/11/24,Gold,217869,"Raina Hasanah, S.H.",3,653607
ORD00162044,Tulus,Medan,Sabuga,10-25-2024,Festival,127493,Nadia Hasanah,,254986
ORD00386464,Pamungkas,,JCC,2024/05/03,Gold,217869,Jinawi Budiyanto,4,871476
ORD00353916,Pamungkas,Yogyakarta,Taman Budaya,2023-08-13,Silver,173669,Nalar Putra,4,
ORD00133446,PAMUNGKAS,Denpasar,LAPANGAN GASIBU,07-16-2025,Festival,127493,Rama Gunawan,3,382479
ORD00306315,Ardhito Pramono,Denpasar,JCC,08-02-2023,Silver,173669,Puti Carla Prasasta,3,521007
ORD00081072,fourtwnty,Medan,jogja expo center,2024-03-26,Gold,217869,Gangsa Wahyuni,1,217869
ORD00558332,Noah,Bandung,Sabuga,2024/07/27,Festival,127493,Zahra Mardhiyah,1,127493
ORD00442432,RAISA,Balikpapan,TENNIS INDOOR SENAYAN,07-30-2023,,253466,"R. Intan Hariyah, S.Kom",3,760398
ORD00634204,Nadin Amizah,Medan,Taman Budaya,2024-08-08,Festival,127493,Jane Purnawati,4,509972
ORD00335744,isyana sarasvati,Yogyakarta,tennis indoor senayan,2025-07-13,Silver,173669,Drs. Sabri Mayasari,1,173669
,Banda Neira,Bandung,JCC,2024/07/06,Silver,173669,Ciaobella Zulaika,1,173669
ORD00532348,BARASUARA,Medan,LAPANGAN GASIBU,12-06-2024,Festival,127493,Daliman Simbolon,4,509972
ORD00366098,Bernadya,Bandung,Jogja Expo Center,2025/06/06,Festival,127493,Safina Budiyanto,1,
ORD00636036,,Yogyakarta,Tennis Indoor Senayan,2025/01/12,Gold,217869,Jarwadi Kuswoyo,1,217869
ORD00522349,Yura Yunita,Balikpapan,Tennis Indoor Senayan,2024-06-04,Gold,217869,Rizki Oktaviani,4,871476
ORD00608478,Fourtwnty,Semarang,Gedung Kesenian Jakarta,07-21-2024,Gold,217869,Joko Purwanti,5,1089345
,Maliq & D'Essentials,Jakarta,Gedung Kesenian Jakarta,03-02-2025,Silver,1,"Hardana Siregar, M.Ak",4,694676
ORD00796291,,Jakarta,JCC,2024-09-24,Festival,99999999,Darman Januar,2,254986
ORD00823210,Bernadya,Surabaya,Tennis Indoor Senayan,2024-08-23,Gold,217869,R.M. Lembah Budiman,3,653607
ORD00753959,MALIQ & D'ESSENTIALS,Bandung,ISTORA SENAYAN,2023-10-04,Gold,217869,Olivia Saefullah,5,1089345
ORD00277830,HINDIA,Makassar,GEDUNG KESENIAN JAKARTA,2024-12-25,VIP,253466,R.M. Cahyadi Wulandari,4,1013864
ORD00815262,Sal Priadi,Jakarta,Sabuga,2024-08-24,VIP,253466,Elisa Suryono,2,506932
ORD00239446,,Denpasar,taman budaya,2024-12-31,Silver,173669,Gandi Melani,4,694676
ORD00775668,Maliq & D'Essentials,Makassar,Sabuga,2024/06/09,VIP,253466,Bakianto Januar,2,506932
ORD00586493,FOURTWNTY,Yogyakarta,TRANS STUDIO BANDUNG,2024-10-07,Silver,500000000,Galak Hutasoit,2,347338
ORD00587538,dewa 19,Semarang,jogja expo center,2025/03/24,Gold,217869,"Dt. Purwadi Palastri, S.E.",3,653607
ORD00536973,Bernadya,Semarang,Sabuga,,Festival,127493,Danuja Pangestu,2,254986
ORD00034880,Bernadya,Palembang,Taman Budaya,2025-02-11,Silver,173669,Kambali Haryanto,2,347338
ORD00417106,Isyana Sarasvati,Bandung,Ciwalk,2025-02-16,Festival,127493,,5,637465
ORD00676947,Fiersa Besari,Balikpapan,Taman Budaya,08-10-2024,Festival,127493,Gandewa Haryanti,5,637465
ORD00735237,Fourtwnty,Palembang,Istora Senayan,2023-11-13,Festival,127493,Rina Andriani,4,509972
ORD00266037,,Bandung,sabuga,2024-02-16,Festival,127493,Muhammad Simbolon,1,127493
ORD00315798,isyana sarasvati,Semarang,tennis indoor senayan,2024-05-04,Gold,217869,dr. Ozy Uwais,5,1089345
ORD00735586,,Balikpapan,Lapangan Gasibu,2023/09/19,Festival,127493,"Farah Kuswandari, S.I.Kom",3,382479
,tiara andini,Medan,jogja expo center,2024-10-29,Festival,127493,"Puti Sarah Gunawan, S.I.Kom",4,509972
ORD00145821,raisa,Bandung,sabuga,2024-07-29,Silver,,"Drs. Nadine Napitupulu, M.M.",3,521007
ORD00191473,banda neira,Palembang,tennis indoor senayan,04-07-2025,Gold,217869,Jamalia Nuraini,3,653607
ORD00130109,YURA YUNITA,Semarang,JOGJA EXPO CENTER,2025-07-08,Silver,173669,Dt. Kunthara Ardianto,1,173669
ORD00728347,Efek Rumah Kaca,Medan,JCC,07-20-2025,Silver,173669,Violet Winarsih,3,521007
ORD00491604,Isyana Sarasvati,Makassar,Tennis Indoor Senayan,2025-01-15,Festival,127493,Eka Nainggolan,2,254986
,Ardhito Pramono,Jakarta,Gedung Kesenian Jakarta,2025-03-09,VIP,253466,Aisyah Simbolon,1,253466
ORD00319601,Yura Yunita,Balikpapan,Sabuga,2024-01-05,Silver,173669,Warsa Januar,2,347338
ORD00734729,Fourtwnty,Palembang,Istora Senayan,2023-11-13,Festival,127493,,2,254986
ORD00161113,dewa 19,Makassar,lapangan gasibu,2024/01/20,VIP,253466,Edi Suwarno,5,1267330
ORD00039562,Efek Rumah Kaca,Surabaya,Lapangan Gasibu,2025-04-30,Silver,173669,"drg. Eva Sihombing, S.Psi",2,347338
ORD00156396,,Surabaya,Gedung Kesenian Jakarta,2024-06-30,VIP,253466,Melinda Maulana,1,253466
ORD00402775,Bernadya,Surabaya,Trans Studio Bandung,2025/02/26,Silver,173669,Upik Purnawati,1,173669
ORD00723419,Sal Priadi,Jakarta,JCC,2025-07-12,Gold,217869,"Puji Suryatmi, M.Farm",4,871476
ORD00414772,Isyana Sarasvati,Semarang,Trans Studio Bandung,2024-08-26,Festival,127493,Ir. Shania Sinaga,5,637465
ORD00129596,Efek Rumah Kaca,Medan,Taman Budaya,2024-09-09,Silver,173669,Opan Budiman,5,868345
ORD00389331,Ardhito Pramono,Denpasar,Trans Studio Bandung,2024-03-25,Festival,,Faizah Suwarno,4,509972
ORD00658526,sal priadi,Palembang,sabuga,2025-01-12,VIP,253466,Hj. Gilda Halim,4,1013864
ORD00386699,barasuara,Surabaya,jcc,2024-06-24,Silver,173669,"Ilsa Suryono, S.I.Kom",1,173669
ORD00012433,Efek Rumah Kaca,Balikpapan,Lapangan Gasibu,2024/01/22,Festival,127493,Vera Farida,3,382479
ORD00697473,tulus,Bandung,,11-17-2024,Silver,173669,Iriana Pratama,4,694676
ORD00247995,Banda Neira,Denpasar,Lapangan Gasibu,07-21-2025,Gold,217869,,2,435738
ORD00204289,Pamungkas,Palembang,Sabuga,,Silver,173669,"Ganep Hakim, S.I.Kom",4,694676
ORD00577655,Efek Rumah Kaca,Surabaya,Jogja Expo Center,2023/09/23,Silver,173669,Oskar Lazuardi,4,694676
ORD00537879,Banda Neira,Bandung,Trans Studio Bandung,2024/05/15,Silver,173669,"Vinsen Halimah, S.I.Kom",4,694676
ORD00605334,SAL PRIADI,Balikpapan,TENNIS INDOOR SENAYAN,2025-04-13,VIP,500000000,"Jayadi Maheswara, S.H.",3,760398
ORD00326806,,Balikpapan,Sabuga,2025-07-14,Gold,217869,"KH. Dadi Sirait, S.Ked",1,217869
ORD00677964,Ardhito Pramono,Denpasar,Trans Studio Bandung,2025-06-02,Silver,173669,"Yance Wijayanti, S.Sos",2,347338
ORD00094553,Maliq & D'Essentials,Palembang,Tennis Indoor Senayan,2024-08-24,Festival,127493,Jelita Melani,4,509972
ORD00362873,Yura Yunita,Bandung,Istora Senayan,09-14-2024,Gold,217869,"Hj. Belinda Hutapea, S.E.I",5,1089345
ORD00343576,KUNTO AJI,Denpasar,LAPANGAN GASIBU,2025-03-28,Silver,173669,Luwar Mardhiyah,1,173669
ORD00084211,Kunto Aji,Medan,Lapangan Gasibu,07-05-2025,Silver,173669,"KH. Kairav Anggriawan, S.I.Kom",3,521007
ORD00566155,dewa 19,Makassar,gedung kesenian jakarta,,Silver,173669,Daryani Prayoga,5,868345
ORD00721739,maliq & d'essentials,Denpasar,ciwalk,2023-09-19,VIP,253466,Ani Sitompul,1,253466
ORD00749059,Ardhito Pramono,Denpasar,Trans Studio Bandung,2024/11/01,Silver,173669,Kasiyah Situmorang,,173669
ORD00766867,Nadin Amizah,Medan,Istora Senayan,2024-06-28,Silver,173669,H. Karna Pradana,1,173669
ORD00428380,isyana sarasvati,Yogyakarta,sabuga,2023-11-17,Silver,173669,Zalindra Oktaviani,4,694676
ORD00101223,MALIQ & D'ESSENTIALS,Jakarta,TRANS STUDIO BANDUNG,2024-10-31,Silver,173669,Mila Yulianti,2,347338
ORD00250424,Hindia,Surabaya,Istora Senayan,,Silver,173669,Asman Wibowo,2,347338
ORD00325524,Fiersa Besari,Semarang,JCC,11-19-2024,Gold,217869,"Juli Anggriawan, M.M.",1,217869
ORD00458786,banda neira,Surabaya,jcc,2024-10-30,Silver,173669,"Rina Yulianti, S.E.I",3,521007
ORD00796783,tiara andini,Balikpapan,istora senayan,2023/11/04,Silver,173669,Tirta Latupono,2,347338
,Pamungkas,Palembang,Trans Studio Bandung,2025-06-01,Gold,217869,Amelia Lailasari,3,653607
ORD00477090,Raisa,Denpasar,Jogja Expo Center,03-11-2025,VIP,253466,,5,1267330
ORD00479654,Fiersa Besari,Denpasar,Ciwalk,2024-11-23,Festival,127493,H. Cemplunk Setiawan,3,382479
ORD00336776,Maliq & D'Essentials,Makassar,Sabuga,2024/04/09,Gold,217869,Ozy Irawan,1,217869
ORD00270437,MALIQ & D'ESSENTIALS,Jakarta,TENNIS INDOOR SENAYAN,2024-01-31,VIP,253466,H. Dono Ramadan,1,253466
ORD00437871,Fourtwnty,Balikpapan,,2025/02/02,VIP,253466,Endah Anggriawan,2,506932
ORD00278874,Kunto Aji,Medan,Lapangan Gasibu,09-28-2024,,253466,Radit Hasanah,4,1013864
ORD00080367,Efek Rumah Kaca,Makassar,Ciwalk,2025-06-05,VIP,253466,Drs. Baktiadi Lestari,5,1267330
ORD00455956,banda neira,Palembang,taman budaya,2024-07-20,Silver,,"Uli Hutapea, S.E.",3,521007
ORD00821444,Bernadya,Makassar,JCC,2025-07-11,VIP,253466,Atma Hutapea,4,1013864
ORD00370221,Pamungkas,Balikpapan,Jogja Expo Center,02-10-2025,VIP,253466,Prasetya Aryani,2,506932
ORD00612982,Isyana Sarasvati,Semarang,Lapangan Gasibu,2025-07-20,Gold,217869,H. Koko Sitorus,3,653607
ORD00341841,TULUS,Bandung,JOGJA EXPO CENTER,2024-02-18,Silver,173669,Yani Puspita,2,347338
ORD00445549,Fiersa Besari,Balikpapan,Jogja Expo Center,2025-03-15,Silver,173669,,1,173669
ORD00356793,Dewa 19,Bandung,Tennis Indoor Senayan,05-30-2024,Festival,127493,Baktiono Marpaung,1,127493
ORD00497796,maliq & d'essentials,Balikpapan,lapangan gasibu,2024/06/12,Silver,173669,Dt. Galang Wulandari,5,868345
ORD00282360,SAL PRIADI,Denpasar,JCC,2025-07-24,Festival,127493,Shania Usada,4,509972
ORD00141891,Fourtwnty,Balikpapan,JCC,2025/03/07,VIP,253466,Ira Kuswandari,,253466
ORD00556929,KUNTO AJI,,ISTORA SENAYAN,01-27-2024,VIP,253466,Nasab Sinaga,1,253466
ORD00388259,fourtwnty,Surabaya,ciwalk,2025/07/10,Gold,217869,"KH. Oman Firmansyah, S.Psi",3,653607
ORD00716570,,Surabaya,Taman Budaya,2023-08-20,VIP,253466,Edward Pradipta,3,760398
ORD00307740,Tiara Andini,Palembang,Trans Studio Bandung,06-10-2025,Silver,173669,"Drs. Harsaya Wijaya, S.IP",3,521007
ORD00765151,Kunto Aji,Semarang,Trans Studio Bandung,2024-07-03,VIP,253466,,5,1267330
ORD00492853,BERNADYA,Bandung,JOGJA EXPO CENTER,2025-01-24,Festival,127493,Tantri Ramadan,4,509972
ORD00544361,Yura Yunita,Medan,,05-04-2025,VIP,253466,"KH. Jamal Yuliarti, M.Kom.",2,506932
ORD00080842,Fourtwnty,Medan,Jogja Expo Center,2024-03-26,Gold,217869,,5,1089345
ORD00314111,Sal Priadi,Palembang,Trans Studio Bandung,2024-06-23,Festival,127493,Niyaga Zulaika,1,127493
ORD00543871,Raisa,Denpasar,Sabuga,,Gold,217869,Sutan Wadi Mayasari,3,653607
ORD00627105,BANDA NEIRA,Makassar,,2025-01-20,VIP,253466,Kayla Firmansyah,5,1267330
ORD00063583,barasuara,Palembang,taman budaya,2024-09-12,Festival,127493,,2,254986
ORD00187363,noah,Yogyakarta,trans studio bandung,2023-09-06,VIP,253466,Ibrahim Hidayat,,1267330
ORD00381683,Ardhito Pramono,Palembang,,09-16-2024,Gold,217869,Kayla Prasetya,2,435738
ORD00656895,Nadin Amizah,Yogyakarta,Gedung Kesenian Jakarta,,Gold,500000000,"Viktor Winarno, S.IP",4,871476
ORD00474065,Fourtwnty,Surabaya,JCC,2024/02/03,,217869,"Aisyah Purwanti, S.IP",2,435738
ORD00458376,Banda Neira,Surabaya,,2024-10-30,Silver,173669,Fitria Megantara,5,868345
ORD00039130,Efek Rumah Kaca,Surabaya,Lapangan Gasibu,2025/04/30,Silver,173669,"Ghaliyati Maryadi, S.Ked",5,868345
ORD00331795,Barasuara,Palembang,Jogja Expo Center,2025-06-09,VIP,253466,Belinda Ardianto,5,1267330
ORD00806419,Kunto Aji,Bandung,Istora Senayan,2024-09-26,Gold,217869,Amelia Suwarno,,653607
ORD00456575,RAISA,,JOGJA EXPO CENTER,2024-12-25,Silver,173669,Melinda Purwanti,1,173669
ORD00523039,Yura Yunita,Balikpapan,Tennis Indoor Senayan,2024-06-04,Gold,217869,Rendy Kuswoyo,3,
ORD00605472,,Balikpapan,TENNIS INDOOR SENAYAN,2025-04-13,VIP,253466,Yessi Nasyidah,4,1013864
ORD00220192,isyana sarasvati,Jakarta,,2025-02-03,Festival,127493,Laras Mustofa,1,127493
ORD00188301,Fiersa Besari,Jakarta,Ciwalk,2024-12-30,VIP,253466,Estiono Thamrin,5,1267330
ORD00309230,Yura Yunita,Makassar,Ciwalk,11-18-2023,Silver,173669,"Salsabila Wibisono, S.IP",3,521007
ORD00788459,tiara andini,Yogyakarta,lapangan gasibu,2024-06-10,Gold,,Raisa Nainggolan,5,1089345
ORD00474262,Fourtwnty,Surabaya,JCC,2024-02-03,Gold,217869,T. Umaya Latupono,5,1089345
ORD00034990,Bernadya,Palembang,Taman Budaya,,Silver,173669,Umar Samosir,3,521007
ORD00817192,Kunto Aji,Palembang,Taman Budaya,06-12-2024,Gold,217869,Amelia Prabowo,1,217869
ORD00277854,Hindia,Makassar,Gedung Kesenian Jakarta,2024/12/25,VIP,253466,Arsipatra Kurniawan,2,506932
ORD00486082,Maliq & D'Essentials,Palembang,Lapangan Gasibu,2024/03/30,Gold,217869,"Ibrani Uwais, M.TI.",3,653607
